,18L,36R,01,19,18R,36L
326,858.2250510053941,3953.051490519183,4630.252215363292,1931.8301329202532,7039.110041201926,4205.891827219818
334,700.3205150427561,4306.414798688151,4989.741798449991,2291.319716006952,7392.4733493708945,4559.255135388787
335,689.198431663562,4313.022154594546,5059.704940925553,2361.282858482515,7399.08070527729,4565.862491295182
333,720.3688840507574,4270.331289311826,4947.532014155934,2249.1099317128965,7356.389839994568,4523.17162601246
305,2451.341929324854,4741.962425953991,4470.621030652303,861.5171440115181,7845.793831382724,5026.044717201287
558,3155.482564753704,1652.391743704886,2445.1736125679863,3777.873644162699,4981.284897472845,3468.250308191702
301,2705.1724341065037,4995.79293073564,4457.704113842587,769.7536279380945,8099.624336164374,5279.875221982937
460,1911.875972618259,3794.854239409239,3530.9012040303924,1277.4520970194656,6898.685644837971,4126.568005189595
354,965.0409762646768,3699.292926750426,4465.540671753969,1767.1185893109312,6785.35147743317,3952.133263451061
361,1917.526321548654,4166.962611450993,3781.837111453811,885.118513898732,7270.794016879728,4487.456668071026
357,1066.8318889136362,3364.6741264063703,4313.783643735994,1675.3126009943835,6447.596487536705,3614.378273554597
351,793.8514186934108,3875.661290147036,4641.909035150578,1943.4869527075405,6961.719840829779,4128.501626847671
352,850.1830228521067,3816.468441017305,4582.716186020848,1884.29410357781,6902.526991700049,4069.30877771794
353,901.0771514239618,3760.529092316967,4526.77683732051,1828.354754877472,6846.587642999711,4013.369429017602
356,1060.8641860253592,3601.25246341336,4368.367815434438,1706.1628569609748,6687.311014096104,3854.092800113996
355,1011.4475756405566,3646.1077441543457,4413.223096175423,1738.9667675220712,6732.1662948370895,3898.948080854981
359,1965.919541634731,4256.372900659081,3871.2474006619,784.6605371281861,7360.204306087816,4540.622329511166
360,1954.339182480649,4203.775472382988,3818.6499723858055,839.2495828744467,7307.606877811722,4524.269529003021
358,2054.0428002279928,4344.496159252343,3959.3706592551616,686.3730434621839,7448.327564681078,4628.745588104428
103,4206.0992313662455,1725.928083746012,3997.137229697901,5190.201889910398,3354.404838962448,2126.912473640175
104,4122.915221627962,1642.7440740077284,3913.953219959618,5107.017880172114,3271.2208292241644,2043.7284639018917
105,4108.400103107054,1628.2289554868207,3899.43810143871,5092.502761651206,3256.7057107032565,2029.213345380984
106,4119.683070818203,1639.51192319797,3910.721069149859,5103.785729362354,3025.841943612478,1798.3495782902062
107,4378.855043469556,1898.683895849323,4169.893041801212,5362.957702013707,3041.151139450073,1776.2830163372337
110,4387.689142427224,1907.5179948069904,4178.72714075888,5371.791800971374,3049.9852384077403,1785.1171152949012
111,4349.304884102316,1869.1337364820824,4140.342882433972,5333.407542646466,2844.211194315713,1579.3430712028733
112,4429.301190530156,1949.1300429099235,4220.3391888618125,5413.403849074307,2762.180370323312,1497.3122472104724
113,4578.713265940997,2098.5421183207645,4369.751264272654,5562.815924485148,2778.326545152029,1402.451052430637
114,4649.354309670156,2169.183162049924,4440.392308001813,5633.4569682143065,2848.9675888811885,1473.0920961597967
115,4723.876871020791,2243.705723400559,4514.9148693524485,5707.979529564942,2923.4901502318235,1547.6146575104312
116,4746.508606510662,2266.3374588904285,4537.546604842319,5730.611265054812,2946.121885721693,1570.2463930003014
240,4219.231054648042,1739.0599070278083,4010.269052979698,5203.333713192194,3367.5366622442443,2140.044296921971
239,4181.255781647656,1701.0846340274222,3972.293779979312,5165.358440191808,3329.5613892438587,2102.069023921585
238,4117.239547734829,1637.0684001145953,3908.277546066485,5101.3422062789805,3265.545155331032,2038.0527900087584
237,4098.03543342293,1617.8642858026965,3889.0734317545857,5082.138091967082,3246.3410410191323,2018.84867569686
236,3896.231707358371,1416.0605597381382,3687.269705690027,4880.334365902523,3229.636395815786,2030.870093440747
235,3817.6923954771432,1337.5212478569106,3608.7303938088,4801.795054021296,3295.0766580153927,2096.3103556403544
234,3772.915171608044,1292.744023987811,3563.9531699397,4757.017830152196,3362.1060712182875,2163.339768843249
233,3717.4889197247176,1258.1065342978698,3508.5269180563737,4701.59157826887,3418.3913151544466,2219.6250127794087
232,3669.011798668524,1223.5195056740563,3460.04979700018,4653.114457212676,3471.711569952578,2272.94526757754
231,3601.138770575232,1155.646477580765,3392.1767689068884,4585.241429119384,3520.6838132570933,2325.9502816364943
230,3544.3820908000384,1098.8897978055704,3335.4200891316946,4528.484749344189,3576.124067177556,2381.390535556957
229,3316.371251301395,1114.842554598506,3275.261794527305,4314.110147251013,3847.170998329677,2613.7730887953385
228,3266.121308452053,1120.5138366193944,3280.9330765481936,4263.860204401671,3829.623183545819,2563.5231459459965
227,3212.5416819308093,1199.629424826751,3360.04866475555,4210.280577880426,3908.738771753175,2509.9435194247526
226,3183.687801391143,1345.2576206486713,3505.6768605774714,4181.42669734076,4054.3669675750966,2479.491146788336
221,3157.6935435553746,1543.5235449055442,3703.942784834344,4155.432439504992,4252.63289183197,2409.2172110510232
220,2960.4030303588083,1725.1973430375672,3885.6165829663673,3958.141926308426,4434.3066899639925,2211.926697854457
219,2961.280016798589,1726.074329477348,3886.493569406148,3959.0189127482063,4435.183676403773,2212.803684294237
218,2933.749526213193,1746.9598231546606,3907.379063083461,3931.4884221628095,4456.069170081086,2185.273193708841
217,2730.3609593589485,1789.3625114113108,3949.78175134011,3728.099855308566,4502.184592272435,1979.1974488971057
216,2661.69321613384,1792.5566662618348,3952.9759061906334,3659.4321120834575,4505.378747122959,1910.529705671997
215,2639.7448318449183,1835.9876102527423,3996.4068501815423,3637.483727794536,4548.809691113867,1871.5082086734687
212,2715.418375413646,2227.49232971789,4220.3907575389085,3807.433255052575,4557.761394890424,1541.8400210719592
211,2774.882018859714,2286.955973163958,4279.854400984976,3866.896898498643,4472.597340965649,1456.6759671471848
210,2842.216157906932,2354.290112211176,4347.188540032194,3934.231037545861,4393.862166526654,1377.9407927081893
209,2873.7251478426138,2403.7912658361392,4396.6896936571575,3983.732191170825,4316.130665559685,1300.2092917412217
207,3122.3199996265785,2652.386117620104,4645.284545441123,4232.327042954789,4273.523558116497,1257.6021842980335
206,3195.2116285899274,2725.277746583453,4718.176174404472,4305.218671918138,4346.415187079846,1330.493813261383
213,2679.472830858761,2133.4925305579054,4126.390958378924,3713.433455892591,4608.271171431319,1592.3497976128538
730,1980.685109848727,2683.1119569737207,4163.973705658979,3301.1692976981544,5171.288901622337,2155.367527803873
729,2032.0512680812235,2642.416503508981,4123.278252194239,3302.833984128854,5130.593448157598,2114.672074339134
728,2074.5123845141225,2599.831204876165,4165.739368627139,3345.2951005617533,5088.008149524782,2072.086775706318
727,2114.857044731819,2559.1688151195294,4206.084028844835,3385.63976077945,5047.345759768146,2031.424385949682
726,2158.073171124608,2518.5824813592862,4249.3001552376245,3428.8558871722385,5006.759426007903,1990.838052189439
725,2227.2104754005145,2467.704263566113,4318.437459513531,3497.993191448146,4955.881208214731,1939.959834396266
724,2277.900639159621,2418.2607902135687,4369.127623272638,3548.683355207252,4906.4377348621865,1890.5163610437216
723,2327.8077043902927,2367.453945258746,4345.554097748929,3598.5904204379235,4855.630889907364,1839.7095160888996
722,2377.3175788054623,2318.7266100418,4296.826762531982,3648.100294853093,4806.903554690417,1790.9821808719526
721,2427.6403898913964,2269.4442095570384,4247.5443620472215,3698.423105939027,4757.621154205656,1741.6997803871914
629,995.6806167253618,4512.034150127477,5860.438516291345,3328.3087182931213,7266.861865053765,4250.940491235303
635,805.4264258685407,4321.779959270655,5670.184325434523,3138.0545274363003,7076.607674196944,4060.6863003784815
628,967.1113528377788,4483.4648862398935,5831.8692524037615,3299.7394544055383,7238.292601166182,4222.37122734772
627,960.6884751310852,4477.0420085332,5825.446374697068,3293.316576698845,7231.869723459488,4215.948349641026
626,995.6778748314052,4512.03140823352,5860.435774397388,3328.305976399165,7266.859123159808,4250.937749341346
710,1418.3006603290726,3200.3147758224263,4595.564207575923,2680.91022801419,5850.212994088054,2834.29162026959
709,1706.2550806858712,3023.7246636141003,4444.108328202526,3026.7392685352984,5531.371155597268,2515.4497817788047
708,1669.9766462728244,2987.446229201053,4407.829893789479,2990.4608341222515,5495.092721184221,2479.171347365758
707,1729.3360324699097,2719.5921145485604,4139.975779136986,2931.6918873018767,5571.461058083841,2576.8354731418804
706,1974.2411345729847,2738.635468890598,4159.019133479023,3294.725322422412,5246.281960873766,2230.3605870553024
704,2068.596892344523,2593.915712706566,4159.82387645754,3339.3796083921543,5082.092657355183,2066.171283536719
703,2212.501448270235,2452.995236435833,4303.728432383251,3483.284164317866,4941.17218108445,1925.250807265986
735,2960.579876240713,2609.0518935614937,4601.950321382512,4188.9928188961785,4733.155324441837,1717.2339506233716
734,2925.6790139788736,2574.1510312996547,4567.049459120673,4154.09195663434,4698.254462179999,1682.333088361533
702,2260.833729378548,2401.1938804324955,4352.0607134915645,3531.6164454261784,4889.370825081112,1873.4494512626484
733,2877.1360507457343,2525.608068066515,4518.506495887534,4105.548993401201,4649.711498946859,1633.7901251283938
732,2826.435373514667,2474.907390835448,4467.805818656466,4054.848316170133,4599.010821715791,1583.0894478973264
701,2360.9930252193444,2302.4020564556818,4280.502208945865,3631.7757412669753,4790.579001104299,1774.657627285835
731,2777.884901062727,2426.356918383508,4419.255346204526,4006.297843718193,4550.460349263852,1534.5389754453863
711,1322.262508293879,3236.616426941089,4631.865858694587,2689.0361828086666,5828.640025042408,2812.718651223944
712,1343.0199002478057,3257.373818895016,4652.623250648514,2709.7935747625934,5849.397416996335,2833.4760431778705
815,4676.099313604485,1985.4053321607012,4465.721415705821,5660.201972148638,2418.0668048795924,1657.6266874694784
814,4575.560617222493,1884.8666357787104,4365.182719323829,5559.663275766646,2553.781584150939,1649.4912138137806
813,4518.433380834763,1827.73939939098,4308.055482936098,5502.536039378915,2612.6356808108703,1708.3453104737118
812,4456.065084563336,1764.6000774586932,4244.916161003811,5440.1677431074895,2673.318433664038,1945.8333566145611
811,4443.553893085918,1752.0888859812749,4232.404969526393,5427.656551630072,2660.80724218662,1933.322165137143
810,4213.067971055421,1521.6029639507772,4001.919047495895,5197.170629599575,2934.8666463364243,1991.878975920373
809,4138.320108087863,1446.8551009832183,3927.171184528336,5122.422766632015,3010.543979563989,2067.5563091479385
808,4098.119967112563,1370.1533659911706,3850.4694495362887,5064.200351478761,3088.9110507317537,2140.5393254895707
807,4009.364498623106,1281.3978975017135,3761.713981046832,4975.4448829893045,3174.779837228306,2200.6422039988406
806,3927.5317419896246,1199.5651408682322,3679.881224413351,4893.612126355823,3226.760374605268,2252.6227413758024
805,3876.3457334768536,1148.3791323554613,3628.69521590058,4842.426117843052,3289.916245692931,2315.778612463466
804,3855.5802261423178,1089.8007900022767,3570.1168735473943,4821.2293288306055,3346.9010808319217,2372.7634476024564
803,3798.507931000413,1032.728494860372,3513.0445784054896,4764.157033688701,3405.201989541827,2431.0643563123617
802,3739.532265980564,973.7528298405228,3454.068913385641,4705.181368668851,3463.7630243338617,2489.6253911043964
801,3677.458751784798,911.679315644757,3391.9953991898747,4643.107854473085,3517.2432540819977,2543.1056208525324
W108,5529.015138735779,2069.40142698936,5231.800594846341,6513.117797279932,1688.3478581143709,2251.706235563395
W109,5467.7979512324855,2008.1842394860664,5170.583407343047,6451.900609776639,1744.447567272348,2307.805944721372
W110,5409.069100223287,1949.4553884768677,5111.854556333848,6393.17175876744,1803.1395042030904,2366.497881652114
W111,5349.544860643185,1889.9311488967649,5052.330316753746,6333.647519187338,1858.071210260692,2421.429587709716
W112,5293.458156733045,1833.8444449866247,4996.243612843607,6277.560815277198,1916.715917148512,2480.074294597535
W113,5238.524657803176,1778.9109460567552,4941.310113913737,6222.627316347329,1971.6110504747323,2534.969427923756
602,953.4970794079028,3520.875652177586,4869.280018341454,2474.380211795124,6270.615386200406,3254.694012381944
603,895.6178718049833,3599.2130612236942,4947.617427387562,2552.717620841232,6348.952795246514,3333.0314214280525
604,812.7515595167882,3676.7993182826553,5025.203684446524,2630.303877900193,6426.539052305476,3410.6176784870136
605,726.6179820410794,3752.72842863096,5101.132794794828,2706.2329882484973,6502.46816265378,3486.546788835318
636,825.1821741574954,4341.53570755961,5689.940073723478,3157.810275725255,7096.363422485899,4080.442048667436
630,990.9509207835664,4507.3044541856825,5855.708820349551,3323.579022351326,7262.132169111971,4246.210795293508
631,888.5109676986074,4404.864501100722,5753.26886726459,3221.1390692663667,7159.6922160270105,4143.770842208548
632,854.9550968016715,4371.308630203786,5719.712996367654,3187.583198369432,7126.136345130075,4110.214971311612
633,822.3408422862371,4338.694375688352,5687.09874185222,3154.9689438539967,7093.522090614641,4077.600716796178
634,780.3278689108288,4296.681402312944,5645.085768476812,3112.9559704785884,7051.509117239232,4035.5877434207696
624,888.8095439534193,4405.1630773555335,5753.567443519401,3221.437645521178,7159.990792281822,4144.06941846336
623,855.7469438210754,4372.10047722319,5720.504843387058,3188.375045388835,7126.928192149479,4111.006818331017
622,822.3499398249687,4338.703473227084,5687.107839390952,3154.9780413927283,7093.531188153373,4077.6098143349095
625,992.8955372057426,4509.249070607857,5857.653436771725,3325.5236387735026,7264.0767855341455,4248.155411715683
637,867.3958632366172,4383.749396638732,5732.1537628026,3200.023964804377,7138.5771115650205,4122.655737746558
640,492.78482680492937,4045.397152270085,5393.801518433951,2825.412928372688,6904.545080126045,3888.623706307583
639,697.985681471969,4214.339214874084,5562.743581037952,3030.6137830397283,6969.166929800373,3953.24555598191
638,852.0742855309313,4368.427818933046,5716.832185096914,3184.702387098691,7123.255533859335,4107.334160040872
612,680.1526908727672,4196.506224274883,5544.910590438751,3012.7807924405265,6951.333939201171,3935.412565382708
611,651.3264542322088,4095.328423373408,5443.732789537277,2983.954555799968,6846.16566668414,3830.244292865676
610,709.044915725706,4037.76956926173,5386.173935425599,2963.146988633576,6788.606812572461,3772.685438753998
609,755.4332798454386,3953.906208445191,5302.31057460906,2879.2836278170366,6704.743451755922,3688.8220779374583
608,681.5246886690237,3879.997617268776,5228.401983432644,2805.3750366406216,6630.834860579506,3614.913486761044
713,1177.491583288427,3414.3053505042326,4809.55478225773,2544.2652578032144,6006.328948605551,2990.407574787087
714,1130.3084939783698,3414.7008400523887,4809.950271805885,2497.082168493157,6006.724438153706,2990.803064335243
819,4662.334121279227,2075.585208204312,4453.286926425057,5646.436779823379,2447.1925643076133,1408.2186611868665
818,4612.26639564578,2025.5174825708648,4403.21920079161,5596.369054189932,2501.2912760643944,1462.3173729436471
821,4662.716661039765,2182.5455134195327,4453.754659371422,5646.819319583916,2645.441867039332,1251.2633735480838
820,4641.383745739985,2161.212598119753,4432.421744071642,5625.486404284136,2840.997024951017,1465.1215322296257
936,3648.0269916091497,1795.8424136729448,1782.1023048181687,3264.048387740893,5124.7355674409,3960.794735047148
937,3647.79597628275,1795.6113983465448,1781.8712894917687,3263.817372414493,5124.5045521145,3960.563719720749
938,4479.382001027189,2627.197423090984,1462.823099603194,3467.985387060375,5956.090576858938,4792.149744465186
939,3863.2423160007447,2011.05773806454,1560.3948763774886,3042.3409593002125,5339.950891832496,4176.010059438743
940,4102.358054588941,2250.173476652735,1292.8295276925992,3090.9614406221267,5579.06663042069,4415.125798026937
935,3790.856904714129,1382.9133817554832,2944.554472646094,4388.0520242865,4711.806535523441,3566.691985386905
933,3709.3481210308023,1301.4045980721564,2863.045688962767,4306.543240603172,4630.297751840114,3485.183201703578
932,3268.25180502364,1374.1785543864034,2230.37244901825,3673.870000658656,4703.071708154358,3546.303241866201
931,3250.686812676259,1356.6135620390228,2212.8074566708688,3656.3050083112735,4685.506715806978,3528.738249518819
934,3479.4409858772165,1585.3677352399804,1985.4840214716223,3428.9815731120284,4914.260889007936,3757.492422719777
403,2000.392217830236,3742.852857378982,3478.8998220001354,1365.9683422314422,6846.684262807714,4074.566623159338
401,1913.5027384497296,3831.112517792711,3567.159482413864,1279.0788628509365,6934.943923221443,4162.826283573067
410,1637.9060833742485,3161.642803463896,3814.4762045853386,1912.457740567807,6265.474208892629,3482.1368600839287
411,1545.0754166635302,3258.6506975080124,3911.4840986294553,1819.6270738570888,6362.482102936746,3579.144754128045
413,1457.7343568239585,3347.0071091847826,3999.8405103062255,1732.286014017517,6450.838514613515,3667.501165804815
958,4934.9913908031085,3082.806812866904,468.22096543678174,3923.165919037612,6411.699966634857,5247.759134241105
955,4682.848636848634,2830.664058912429,689.6110487938969,3671.452022881821,6159.557212680383,4995.61638028663
956,4734.804263127874,2882.6196851916693,627.6979808798692,3723.407649161061,6211.512838959623,5047.572006565871
957,4808.322244882718,2956.137666946513,568.0946336611804,3796.496773117221,6285.030820714467,5121.089988320715
951,3880.546163968933,506.3853504333946,3034.2437319008973,4477.741283541302,3946.852005318284,3557.537848339277
952,3930.38002659336,477.3805945770309,3084.077594525324,4527.57514616573,3917.84724946192,3578.417805888475
953,4063.716851232838,412.7952368412019,3249.054311954932,4692.551863595337,3853.26189172609,3586.59507472453
954,4173.96924890221,523.4413894001657,3327.666816834175,4771.16436847458,3963.908044285055,3697.2412272834954
253,3144.9758934172264,2675.042011410752,4667.940439231773,4254.98293674544,4296.179451907147,1280.2580780886829
254,3136.4090376700005,2666.475155663526,4659.3735834845465,4246.416080998213,4287.612596159921,1271.6912223414568
